Date,Open,High,Low,Close,Adj Close,Volume
2017-11-13,158.925034,160.012543,156.975037,158.250046,124.289871,5913958
2017-11-14,158.250046,158.287537,154.575043,155.212540,121.904228,3695788
2017-11-15,155.025040,155.662537,153.300034,155.250031,121.933685,6489755
2017-11-16,155.325043,156.637543,153.862534,156.225037,122.699440,13520381
2017-11-17,156.975037,157.462540,155.812531,156.450043,122.876152,6895291
2017-11-20,157.725037,157.725037,154.237534,156.600037,122.993973,6207895
2017-11-21,156.712540,156.712540,154.350037,154.950043,121.698067,11697549
2017-11-22,156.112534,156.112534,153.825043,155.287537,121.963120,6498754
2017-11-23,155.925034,157.350037,154.912537,156.787537,123.141235,5118689
2017-11-24,156.375046,158.887543,156.000046,158.400040,124.407715,5801034
2017-11-27,158.850037,158.887543,156.000046,157.612534,123.789169,11108399
2017-11-28,157.500046,157.500046,154.650040,156.262543,122.728920,16160149
2017-11-29,156.450043,157.312546,155.662537,156.562546,122.964531,5493407
2017-11-30,156.375046,156.375046,153.862534,154.537537,121.374069,14442444
2017-12-01,155.250031,155.512543,151.650040,152.212540,119.548027,6129055
2017-12-04,152.625031,152.962540,150.675034,152.062531,119.430206,5343421
2017-12-05,151.500031,151.837540,147.637543,150.225037,117.987045,13113826
2017-12-06,149.775040,150.637543,148.987534,150.187531,117.957581,4167880
2017-12-07,150.187531,152.250031,149.587540,151.725037,119.165146,8339816
2017-12-08,152.250031,152.850037,149.925034,152.325043,119.636375,10961699
2017-12-11,152.850037,154.050034,151.950043,153.225037,120.343254,6173625
2017-12-12,153.375031,153.375031,151.425034,152.175034,119.518562,6232749
2017-12-13,150.750031,151.837540,149.887543,150.375031,118.104836,9079477
2017-12-14,150.975037,151.200043,148.875031,150.075043,117.869217,9628805
2017-12-15,151.050034,151.612534,148.125031,149.137543,117.132912,16991219
2017-12-18,149.212540,150.075043,145.050034,149.925034,117.751396,12624006
2017-12-19,150.525040,152.250031,149.400040,151.950043,119.341850,15099798
2017-12-20,152.325043,152.512543,149.962540,152.212540,119.548027,10573478
2017-12-21,153.600037,153.600037,151.575043,152.325043,119.636375,5911311
2017-12-22,152.250031,152.700043,151.387543,152.287537,119.606934,5549943
2017-12-26,152.175034,153.000031,150.900040,151.837540,119.253502,5960071
2017-12-27,151.875031,153.375031,150.600037,150.900040,118.517174,5873579
2017-12-28,151.087540,151.537537,148.875031,149.362534,117.309624,11847150
2017-12-29,149.662537,151.275040,149.587540,150.262543,118.016510,6421174
2018-01-01,149.287537,151.312531,149.287537,150.150040,117.928123,4791013
2018-01-02,150.937531,151.350037,149.475037,150.562531,118.252098,3287779
2018-01-03,151.125031,151.837540,150.450043,151.237534,118.782249,6140547
2018-01-04,151.500031,152.137543,150.000031,150.262543,118.016510,3153041
2018-01-05,150.975037,151.537537,150.450043,150.937531,118.546623,3692669
2018-01-08,151.500031,152.437531,150.037537,150.412537,118.134285,8848397
2018-01-09,150.825043,151.050034,150.225037,150.750031,118.399361,5535274
2018-01-10,151.425034,151.425034,148.875031,149.887543,117.721970,6532789
2018-01-11,149.325043,150.225037,147.975037,148.387543,116.543854,9229248
2018-01-12,148.575043,148.725037,146.775040,147.262543,115.660278,7058936
2018-01-15,148.350037,150.187531,146.362534,149.475037,117.397987,7471800
